Index,Trading_Pair,Opening Time,Opening Price,Closing Price,Volume,Closing Time,No. of Trades
0,BTCUSDT,1638691200000,49289.17000000,49474.55000000,1461.07943000,1638694799999,46423
1,BTCUSDT,1638694800000,49474.55000000,48990.84000000,1976.01031000,1638698399999,62523
2,BTCUSDT,1638698400000,48990.83000000,49233.73000000,1205.28758000,1638701999999,45982
3,BTCUSDT,1638702000000,49233.73000000,49242.58000000,1231.66606000,1638705599999,48918
4,BTCUSDT,1638705600000,49236.24000000,49382.34000000,2038.50363000,1638709199999,62525
5,BTCUSDT,1638709200000,49382.34000000,49297.52000000,1540.13793000,1638712799999,48344
6,BTCUSDT,1638712800000,49297.52000000,48926.21000000,2492.24568000,1638716399999,82185
7,BTCUSDT,1638716400000,48926.21000000,47951.57000000,5477.45332000,1638719999999,144097
8,BTCUSDT,1638720000000,47951.57000000,48479.81000000,3640.86487000,1638723599999,95081
9,BTCUSDT,1638723600000,48488.09000000,49262.21000000,2418.98344000,1638727199999,64500
10,BTCUSDT,1638727200000,49262.21000000,49089.18000000,1121.97362000,1638730799999,34185
11,BTCUSDT,1638730800000,49089.19000000,48902.45000000,1593.65064000,1638734399999,47199
12,BTCUSDT,1638734400000,48902.44000000,48814.66000000,1040.89658000,1638737999999,34057
13,BTCUSDT,1638738000000,48814.67000000,49158.83000000,1655.54592000,1638741599999,40154
14,BTCUSDT,1638741600000,49158.84000000,49214.10000000,1203.29932000,1638745199999,30978
15,BTCUSDT,1638745200000,49214.10000000,49396.33000000,1482.97047000,1638748799999,42151
16,BTCUSDT,1638748800000,49396.32000000,48743.61000000,2057.42448000,1638752399999,82269
17,BTCUSDT,1638752400000,48743.61000000,48804.19000000,2305.00460000,1638755999999,63204
18,BTCUSDT,1638756000000,48804.20000000,48862.09000000,1423.96728000,1638759599999,47696
19,BTCUSDT,1638759600000,48862.09000000,49018.47000000,1358.07646000,1638763199999,44255
20,BTCUSDT,1638763200000,49018.46000000,48979.66000000,1113.13657000,1638766799999,40296
21,BTCUSDT,1638766800000,48979.66000000,48678.54000000,998.37176000,1638770399999,38691
22,BTCUSDT,1638770400000,48678.55000000,48168.04000000,1708.61083000,1638773999999,57719
23,BTCUSDT,1638774000000,48166.51000000,48139.27000000,390.43676000,1638777599999,10790
